Protein A;Gene A;Protein B;Gene B;Score;PMID
P51451;BLK;P04626;ERBB2;0.183;16273093 
P51452;DUSP3;P00533;EGFR;0.309;1281549 
P51636;CAV2;P00533;EGFR;0.692;24658140 15273741 16799092 25402006 
P51692;STAT5B;P00533;EGFR;0.583;10558875 22729867 16729043 
P51797;CLCN6;P04626;ERBB2;0.286;25640309 
Q8IYI6;EXOC8;P00533;EGFR;0.309;25594178 23956138 
P51813;BMX;P00533;EGFR;0.183;16273093 
P51813;BMX;P04626;ERBB2;0.183;16273093 
P45984;MAPK9;P00533;EGFR;0.286;24658140 25402006 
P46937;YAP1;P00533;EGFR;0.21;12807903 
P52306;RAP1GDS1;P00533;EGFR;0.286;20029029 
P46098;HTR3A;P00533;EGFR;0.126;28514442 
P52630;STAT2;P00533;EGFR;0.286;24658140 25402006 
P52735;VAV2;P21860;ERBB3;0.183;16273093 
Q8IZW8;TNS4;P00533;EGFR;0.183;16273093 
Q8IZW8;TNS4;P21860;ERBB3;0.183;16273093 
P52757;CHN2;P21860;ERBB3;0.183;16273093 
P46109;CRKL;P00533;EGFR;0.623;24658140 16729043 23397142 18271526 25402006 
P46109;CRKL;P04626;ERBB2;0.183;16273093 
P46109;CRKL;P21860;ERBB3;0.183;16273093 
P23458;JAK1;P04626;ERBB2;0.183;16273093 
P23467;PTPRB;P04626;ERBB2;0.065;19167335 
P23471;PTPRZ1;P04626;ERBB2;0.065;19167335 
P23528;CFL1;P00533;EGFR;0.376;24658140 20029029 
Q15303;ERBB4;P23528;CFL1;0.126;24658140 
P19022;CDH2;P00533;EGFR;0.376;19033391 
P19022;CDH2;P04626;ERBB2;0.376;19033391 
Q99075;HBEGF;P00533;EGFR;0.454;12725245 15358134 
Q96EY1;DNAJA3;P00533;EGFR;0.396;23956138 23698466 15657067 
P24394;IL4R;P04626;ERBB2;0.126;28514442 
Q86YD3;TMEM25;P00533;EGFR;0.126;26186194 
Q8N2Y8;RUSC2;P00533;EGFR;0.286;20029029 
Q99608;NDN;P00533;EGFR;0.286;20029029 
Q99650;OSMR;P00533;EGFR;0.21;27110918 
Q99700;ATXN2;P00533;EGFR;0.376;18602463 
Q99704;DOK1;P00533;EGFR;0.376;24658140 25402006 
Q99704;DOK1;P04626;ERBB2;0.332;16273093 
Q8N4S1;SPARCL1;P00533;EGFR;0.126;20029029 
Q99963;SH3GL3;P00533;EGFR;0.286;24658140 25402006 
P25098;ADRBK1;P00533;EGFR;0.454;15620700 
Q8N6M6;AOPEP;P00533;EGFR;0.126;24412244 
Q8N6N2;TTC9B;P04626;ERBB2;0.286;25640309 
P19338;NCL;P00533;EGFR;0.472;28065597 24780295 25261371 
Q9BPW0;PPP5C;P04626;ERBB2;0.126;25036637 
Q96JA1;LRIG1;P04626;ERBB2;0.21;15282549 
Q96JA1;LRIG1;P21860;ERBB3;0.21;15282549 
Q96SB4;SRPK1;P04626;ERBB2;0.21;23602568 
Q9BSM1;PCGF1;P21860;ERBB3;0.126;26687479 
Q9BT67;NDFIP1;P00533;EGFR;0.21;20534535 
Q9BU70;C9ORF156;P04626;ERBB2;0.126;24412244 
Q96KP1;EXOC2;P00533;EGFR;0.21;25594178 
Q96KQ4;PPP1R13B;P04626;ERBB2;0.21;17875712 
Q9BUN8;DERL1;P00533;EGFR;0.376;23306155 
Q8NBJ4;GOLM1;Q15303;ERBB4;0.21;27569582 
Q9BXL5;HEMGN;P00533;EGFR;0.126;24412244 
Q9BY43;CHMP4A;P00533;EGFR;0.21;23477725 
Q8NER1;TRPV1;P00533;EGFR;0.454;19155296 
P19438;TNFRSF1A;P00533;EGFR;0.286;24658140 25402006 
Q13480;GAB1;P00533;EGFR;0.731;24658140 9890893 11432805 18271526 25402006 
Q13489;BIRC3;P00533;EGFR;0.21;23972990 
Q13490;BIRC2;P00533;EGFR;0.21;23972990 
Q13491;GPM6B;P00533;EGFR;0.286;20029029 
P26447;S100A4;P00533;EGFR;0.286;24658140 25402006 
Q13387;MAPK8IP2;P04626;ERBB2;0.332;16273093 
P27701;CD82;P00533;EGFR;0.21;10985391 
P27701;CD82;P04626;ERBB2;0.21;14576349 
P27701;CD82;P21860;ERBB3;0.21;14576349 
P27986;PIK3R1;P04626;ERBB2;0.671;16273093 16843263 21075308 9756944 
Q13635;PTCH1;P00533;EGFR;0.126;28514442 
Q13671;RIN1;P04626;ERBB2;0.183;16273093 
Q13671;RIN1;P21860;ERBB3;0.183;16273093 
Q14032;BAAT;P04626;ERBB2;0.126;24412244 
Q14050;COL9A3;P00533;EGFR;0.286;20029029 
Q14093;CYLC2;P00533;EGFR;0.126;24412244 
Q14093;CYLC2;P04626;ERBB2;0.126;24412244 
Q14145;KEAP1;P00533;EGFR;0.569;25628777 
Q14155;ARHGEF7;P00533;EGFR;0.416;24658140 25402006 
Q9BYZ6;RHOBTB2;P04626;ERBB2;0.286;25640309 
Q14204;DYNC1H1;P00533;EGFR;0.286;20029029 
Q14289;PTK2B;P00533;EGFR;0.454;10777553 10980697 15657067 
Q14449;GRB14;P00533;EGFR;0.523;8647858 
Q14627;IL13RA2;P04626;ERBB2;0.286;25640309 
Q9GZV8;PRDM14;P04626;ERBB2;0.286;25640309 
Q13239;SLA;P04626;ERBB2;0.183;16273093 
Q13239;SLA;P00533;EGFR;0.416;16273093 24658140 25402006 
Q12913;PTPRJ;P04626;ERBB2;0.065;19167335 
Q14974;KPNB1;P04626;ERBB2;0.376;16314522 
Q12929;EPS8;P00533;EGFR;0.569;24658140 25402006 11408594 
Q15303;ERBB4;Q12959;DLG1;0.309;24550280 12175853 
Q15075;EEA1;P00533;EGFR;0.236;24597955 22971756 
Q9H299;SH3BGRL3;P00533;EGFR;0.126;20029029 
Q9H299;SH3BGRL3;P04626;ERBB2;0.126;16729043 
Q15120;PDK3;P00533;EGFR;0.286;20029029 
Q15262;PTPRK;P00533;EGFR;0.126;28514442 
Q15262;PTPRK;P04626;ERBB2;0.033;19167335 
Q9H3H9;TCEAL2;P04626;ERBB2;0.286;25640309 
Q15303;ERBB4;Q13263;TRIM28;0.376;20858735 
Q9H3S7;PTPN23;P00533;EGFR;0.21;23477725 
Q15303;ERBB4;A2A3K4;PTPDC1;0.183;28065597 
Q15303;ERBB4;O14522;PTPRT;0.183;28065597 
Q15303;ERBB4;O75376;NCOR1;0.21;17018285 
Q15303;ERBB4;O75688;PPM1B;0.183;28065597 
Q15303;ERBB4;O95147;DUSP14;0.183;28065597 
Q15303;ERBB4;P00533;EGFR;0.659;23153581 10572067 25140053 
Q15303;ERBB4;P03372;ESR1;0.21;19439407 
Q15303;ERBB4;P04406;GAPDH;0.126;24658140 
Q15303;ERBB4;P04637;TP53;0.21;20858735 
Q15303;ERBB4;P16333;NCK1;0.126;16729043 
Q15303;ERBB4;P22681;CBL;0.21;25140053 
Q15303;ERBB4;P29350;PTPN6;0.332;28065597 
Q15303;ERBB4;P30307;CDC25C;0.183;28065597 
Q15303;ERBB4;P35236;PTPN7;0.183;28065597 
Q15303;ERBB4;P35813;PPM1A;0.183;28065597 
Q15303;ERBB4;P43405;SYK;0.183;16273093 
Q15303;ERBB4;P46108;CRK;0.126;16729043 
Q15303;ERBB4;P46109;CRKL;0.126;16729043 
Q15303;ERBB4;P46934;NEDD4;0.569;19193720 
Q15303;ERBB4;P49593;PPM1F;0.183;28065597 
Q15303;ERBB4;P51692;STAT5B;0.126;16729043 
Q15303;ERBB4;P62988;UBA52;0.376;18334649 
Q15303;ERBB4;Q00987;MDM2;0.21;20858735 
Q15303;ERBB4;Q05209;PTPN12;0.183;28065597 
Q15303;ERBB4;Q13614;MTMR2;0.183;28065597 
Q15303;ERBB4;Q15256;PTPRR;0.183;28065597 
Q15750;TAB1;Q15303;ERBB4;0.183;28065597 
Q16828;DUSP6;Q15303;ERBB4;0.183;28065597 
Q4JDL3;PTPN20 {ECO:0000312|HGNC:HGNC:23423};Q15303;ERBB4;0.183;28065597 
Q8N2W9;PIAS4;Q15303;ERBB4;0.21;22584572 
Q8NEJ0;DUSP18;Q15303;ERBB4;0.183;28065597 
Q8WTR2;DUSP19;Q15303;ERBB4;0.183;28065597 
Q8WUJ0;STYX;Q15303;ERBB4;0.183;28065597 
Q96QG7;MTMR9;Q15303;ERBB4;0.183;28065597 
Q9BY84;DUSP16;Q15303;ERBB4;0.183;28065597 
Q9H0C8;ILKAP;Q15303;ERBB4;0.183;28065597 
Q9H0M0;WWP1;Q15303;ERBB4;0.765;19561640 19047365 
Q9H596;DUSP21;Q15303;ERBB4;0.183;28065597 
Q9Y217;MTMR6;Q15303;ERBB4;0.183;28065597 
Q9Y6W6;DUSP10;Q15303;ERBB4;0.183;28065597 
Q9Y6X2;PIAS3;Q15303;ERBB4;0.21;22584572 
Q9H4P4;RNF41;Q15303;ERBB4;0.309;11867753 
Q9H6Q3;SLA2;P04626;ERBB2;0.332;16273093 
Q13153;PAK1;P04626;ERBB2;0.21;9774445 
Q9H9S0;NANOG;P21860;ERBB3;0.126;26687479 
Q9H9Y6;POLR1B;P04626;ERBB2;0.523;26496610 21555369 
Q15750;TAB1;P00533;EGFR;0.436;24658140 18271526 25402006 
Q9HB71;CACYBP;P04626;ERBB2;0.126;25036637 
Q15819;UBE2V2;P00533;EGFR;0.286;20029029 
Q9HCC9;ZFYVE28;P00533;EGFR;0.126;19460345 
P31749;AKT1;P21860;ERBB3;0.21;21930127 
P31947;SFN;P00533;EGFR;0.74;24658140 16799092 24189400 15657067 25402006 
P31948;STIP1;P04626;ERBB2;0.126;25036637 
P32004;L1CAM;P00533;EGFR;0.21;22815787 
P32004;L1CAM;P04626;ERBB2;0.21;22815787 
P78314;SH3BP2;P04626;ERBB2;0.183;16273093 
P78362;SRPK2;P21860;ERBB3;0.183;26167880 
P63104;YWHAZ;P00533;EGFR;0.702;24658140 15657067 25402006 23956138 15225635 19531499 
P29279;CTGF;P00533;EGFR;0.376;23175185 
Q16186;ADRM1;P00533;EGFR;0.286;20029029 
Q38SD2;LRRK1;P00533;EGFR;0.376;24947832 28065597 
Q3SX64;ODF3L2;P00533;EGFR;0.376;18271526 
Q3V6T2;CCDC88A;P00533;EGFR;0.126;15882442 
P98077;SHC2;P04626;ERBB2;0.183;16273093 
Q53FC7;Q53FC7;P00533;EGFR;0.236;25036637 
Q53FC7;Q53FC7;P04626;ERBB2;0.126;25036637 
Q53GZ6;Q53GZ6;P00533;EGFR;0.126;20029029 
Q16827;PTPRO;P04626;ERBB2;0.033;19167335 
P29376;LTK;P00533;EGFR;0.454;7650032 
Q59EJ3;Q59EJ3;P00533;EGFR;0.126;20029029 
Q59GR8;Q59GR8;P00533;EGFR;0.126;20029029 
P29466;CASP1;P00533;EGFR;0.309;11226410 
Q5T7W7;TSTD2;P00533;EGFR;0.126;24412244 
Q01860;POU5F1;P21860;ERBB3;0.126;26687479 
Q02156;PRKCE;P00533;EGFR;0.286;24658140 25402006 
Q02297;NRG1;P00533;EGFR;0.436;24658140 7730382 25402006 
Q02297;NRG1;P04626;ERBB2;0.523;7592681 
P35240;NF2;P00533;EGFR;0.21;25043298 
P35241;RDX;P04626;ERBB2;0.126;27029001 
P35568;IRS1;P00533;EGFR;0.183;16273093 
P35568;IRS1;P04626;ERBB2;0.332;16273093 
P04626;ERBB2;O43559;FRS3;0.21;23279575 
P00533;EGFR;O15357;INPPL1;0.376;11349134 19713535 
P00533;EGFR;O43561;LAT;0.376;24658140 25402006 
Q15303;ERBB4;O43639;NCK2;0.126;16729043 
P00533;EGFR;O43707;ACTN4;0.49;24658140 25402006 
P00533;EGFR;O15492;RGS16;0.21;11602604 
P00533;EGFR;O15511;ARPC5;0.126;20029029 
P00533;EGFR;O43852;CALU;0.081;22939629 
P54368;OAZ1;P00533;EGFR;0.286;20029029 
P00533;EGFR;O60260;PARK2;0.376;25877876 
P55042;RRAD;P00533;EGFR;0.523;25313011 28065597 
P00533;EGFR;O60496;DOK2;0.309;10508618 
P00533;EGFR;O60603;TLR2;0.436;24658140 25402006 17126326 
P00533;EGFR;O60645;EXOC3;0.309;25594178 23956138 
P00533;EGFR;O60716;CTNND1;0.772;24658140 24189400 15657067 25402006 27316454 9535896 
P00533;EGFR;O60749;SNX2;0.21;9819414 
P00533;EGFR;O60880;SH2D1A;0.183;16273093 
P21860;ERBB3;O60880;SH2D1A;0.183;16273093 
P56945;BCAR1;P04626;ERBB2;0.21;26716506 
P56962;STX17;P00533;EGFR;0.126;24412244 
P57075;UBASH3A;P00533;EGFR;0.507;15159412 15107835 
P58340;MLF1;P04626;ERBB2;0.126;25036637 
P59665;DEFA1B;P00533;EGFR;0.126;28514442 
P60174;TPI1;P00533;EGFR;0.286;20029029 
P00533;EGFR;O75095;MEGF6;0.286;20029029 
P00533;EGFR;O75165;DNAJC13;0.332;28065597 21510942 
P60484;PTEN;P00533;EGFR;0.21;26531778 
P60709;ACTB;P04626;ERBB2;0.309;21555369 
P04626;ERBB2;O75474;FRAT2;0.126;24412244 
P04626;ERBB2;O75553;DAB1;0.183;16273093 
P21860;ERBB3;O75553;DAB1;0.183;16273093 
P00533;EGFR;O75604;USP2;0.21;22370483 
P04626;ERBB2;O75604;USP2;0.309;19436748 
P04626;ERBB2;O75815;BCAR3;0.332;16273093 
P04626;ERBB2;O75820;ZNF189;0.126;24412244 
P62158;CALM3;P00533;EGFR;0.523;14960328 24658140 20029029 16799092 
P04626;ERBB2;O95704;APBB3;0.183;16273093 
P00533;EGFR;O95718;ESRRB;0.126;24189400 
P04626;ERBB2;O95718;ESRRB;0.126;24189400 
P00533;EGFR;O96018;APBA3;0.183;16273093 
P62491;RAB11A;P00533;EGFR;0.21;27569582 
P04626;ERBB2;P00519;ABL1;0.183;16273093 
P21860;ERBB3;P00519;ABL1;0.183;16273093 
Q15303;ERBB4;P00519;ABL1;0.183;16273093 
P00533;EGFR;A1L0T0;ILVBL;0.126;24189400 
P00533;EGFR;A4FU49;SH3D21;0.126;20029029 
P00533;EGFR;A6NE01;FAM186A;0.126;28065597 
P00533;EGFR;A7MD48;SRRM4;0.126;28065597 
P00533;EGFR;A8K4G0;CD300LB;0.126;28065597 
P00533;EGFR;A8MUX0;KRTAP16-1;0.126;28065597 
P00533;EGFR;B2RTY4;MYO9A;0.126;28065597 
P00533;EGFR;B2RXH4;BTBD18 {ECO:0000312|HGNC:HGNC:37214};0.126;28065597 
P00533;EGFR;B9A064;IGLL5;0.126;28065597 
P00533;EGFR;C9J798;RASA4B;0.126;28065597 
P00533;EGFR;O00214;LGALS8;0.126;23956138 
P00533;EGFR;O00264;PGRMC1;0.126;28065597 
P00533;EGFR;O00267;SUPT5H;0.126;28065597 
P00533;EGFR;O00410;IPO5;0.126;23956138 
P00533;EGFR;O00443;PIK3C2A;0.21;10805725 
P00533;EGFR;O00471;EXOC5;0.126;23956138 
P00533;EGFR;O00483;NDUFA4;0.126;24189400 
P00533;EGFR;O00743;PPP6C;0.126;23956138 
P00533;EGFR;O00763;ACACB;0.126;28065597 
P00533;EGFR;O14545;TRAFD1;0.126;28065597 
P00533;EGFR;O14602;EIF1AY;0.126;28065597 
P00533;EGFR;O14654;IRS4;0.183;16273093 
P00533;EGFR;O14773;TPP1;0.126;23956138 
P00533;EGFR;O14787;TNPO2;0.126;23956138 
P00533;EGFR;O14939;PLD2;0.21;9837959 
P00533;EGFR;O14980;XPO1;0.126;23956138 
P00533;EGFR;O14981;BTAF1;0.126;28065597 
P00533;EGFR;O15027;SEC16A;0.126;28065597 
P00533;EGFR;O15209;ZBTB22;0.126;28065597 
P00533;EGFR;O15305;PMM2;0.126;28065597 
P00533;EGFR;O15397;IPO8;0.126;23956138 
P00533;EGFR;O15524;SOCS1;0.21;12070153 
P00533;EGFR;O43156;TTI1;0.126;23956138 
P00533;EGFR;O43175;PHGDH;0.126;23956138 
P00533;EGFR;O43264;ZW10;0.126;23956138 
P00533;EGFR;O43491;EPB41L2;0.126;28065597 
P00533;EGFR;O43524;FOXO3;0.126;28065597 
P00533;EGFR;O43617;TRAPPC3;0.126;23956138 
P00533;EGFR;O43639;NCK2;0.692;24658140 10026169 9843575 9737977 25402006 
P00533;EGFR;O43684;BUB3;0.126;23956138 
P00533;EGFR;O43719;HTATSF1;0.126;28065597 
P00533;EGFR;O43747;AP1G1;0.126;23956138 
P00533;EGFR;O43781;DYRK3;0.126;28065597 
P00533;EGFR;O43790;KRT86;0.126;23956138 
P00533;EGFR;O43829;ZBTB14;0.126;28065597 
P00533;EGFR;O60231;DHX16;0.126;28065597 
P00533;EGFR;O60308;CEP104;0.126;28065597 
P00533;EGFR;O60443;DFNA5;0.126;23956138 
P00533;EGFR;O60487;MPZL2;0.126;28065597 
P00533;EGFR;O60674;JAK2;0.648;16273093 10358079 23838182 
P00533;EGFR;O60841;EIF5B;0.126;28065597 
P00533;EGFR;O75159;SOCS5;0.21;15590694 
P00533;EGFR;O75161;NPHP4;0.126;28065597 
P00533;EGFR;O75223;GGCT;0.126;24189400 
P00533;EGFR;O75368;SH3BGRL;0.332;20029029 16729043 
P00533;EGFR;O75391;SPAG7;0.126;28065597 
P00533;EGFR;O75474;FRAT2;0.126;24412244 
P00533;EGFR;O75674;TOM1L1;0.454;19798056 
P00533;EGFR;O75688;PPM1B;0.183;28065597 
P00533;EGFR;O75815;BCAR3;0.126;15657067 
P00533;EGFR;O75843;AP1G2;0.126;23956138 
P00533;EGFR;O75886;STAM2;0.21;17403676 
P00533;EGFR;O94822;LTN1;0.126;23956138 
P00533;EGFR;O94826;TOMM70A;0.126;28065597 
P00533;EGFR;O94829;IPO13;0.126;23956138 
P00533;EGFR;O94933;SLITRK3;0.126;28065597 
P00533;EGFR;O95006;OR2F2;0.126;28065597 
P00533;EGFR;O95147;DUSP14;0.126;28065597 
P00533;EGFR;O95155;UBE4B;0.126;24189400 
P00533;EGFR;O95232;LUC7L3;0.126;28065597 
P00533;EGFR;O95347;SMC2;0.126;23956138 
P00533;EGFR;O95373;IPO7;0.126;23956138 
P00533;EGFR;O95447;LCA5L;0.126;28065597 
P00533;EGFR;O95477;ABCA1;0.126;28065597 
P00533;EGFR;O95573;ACSL3;0.126;24189400 
P00533;EGFR;O95704;APBB3;0.183;16273093 
P00533;EGFR;O95714;HERC2;0.126;28065597 
P00533;EGFR;O95816;BAG2;0.126;23956138 
P00533;EGFR;O96013;PAK4;0.126;28065597 
P00533;EGFR;P00374;DHFR;0.126;28065597 
P01100;FOS;P00533;EGFR;0.126;25241761 
P01137;TGFB1;P00533;EGFR;0.126;24412244 
P01889;HLA-B;P00533;EGFR;0.126;28065597 
P01892;HLA-A;P00533;EGFR;0.126;24189400 
P02452;COL1A1;P00533;EGFR;0.126;28065597 
P02533;KRT14;P00533;EGFR;0.126;15657067 
P02538;KRT6A;P00533;EGFR;0.126;15657067 
P02751;FN1;P00533;EGFR;0.286;20029029 
P02765;AHSG;P00533;EGFR;0.126;28065597 
P04049;RAF1;P00533;EGFR;0.286;24658140 25402006 
P04150;NR3C1;P00533;EGFR;0.376;24658140 25402006 
P04201;MAS1;P00533;EGFR;0.126;28065597 
P04350;TUBB4A;P00533;EGFR;0.126;23956138 
P04843;RPN1;P00533;EGFR;0.126;23956138 
P05107;ITGB2;P00533;EGFR;0.286;24658140 25402006 
P05141;SLC25A5;P00533;EGFR;0.126;15657067 
P05204;HMGN2;P00533;EGFR;0.126;28065597 
P05387;RPLP2;P00533;EGFR;0.126;28065597 
P05455;SSB;P00533;EGFR;0.126;28065597 
P05556;ITGB1;P00533;EGFR;0.309;23595626 
P06576;ATP5B;P00533;EGFR;0.126;15657067 
P07237;P4HB;P00533;EGFR;0.126;23956138 
P07339;CTSD;P00533;EGFR;0.126;28065597 
P07814;EPRS;P00533;EGFR;0.126;23956138 
P07947;YES1;P00533;EGFR;0.126;15657067 
P08123;COL1A2;P00533;EGFR;0.126;28065597 
P08581;MET;P00533;EGFR;0.454;24362532 21918175 24189400 
P08779;KRT16;P00533;EGFR;0.126;28065597 
P09429;HMGB1;P00533;EGFR;0.126;28065597 
P09493;TPM1;P00533;EGFR;0.183;20029029 
P09619;PDGFRB;P00533;EGFR;0.21;9506992 
P09936;UCHL1;P00533;EGFR;0.376;20029029 
P0CG32;ZCCHC18 {ECO:0000312|HGNC:HGNC:32459};P00533;EGFR;0.126;28065597 
P0CG47;UBB;P00533;EGFR;0.126;15657067 
P10412;HIST1H1E;P00533;EGFR;0.126;15657067 
P10586;PTPRF;P00533;EGFR;0.126;24189400 
P10644;PRKAR1A;P00533;EGFR;0.21;9050991 
P10809;HSPD1;P00533;EGFR;0.126;15657067 
P12035;KRT3;P00533;EGFR;0.126;28065597 
P12532;CKMT1B;P00533;EGFR;0.126;28065597 
P13591;NCAM1;P00533;EGFR;0.309;17995934 
P13645;KRT10;P00533;EGFR;0.126;28065597 
P13987;CD59;P00533;EGFR;0.183;12577067 
P14324;FDPS;P00533;EGFR;0.126;23956138 
P14416;DRD2;P00533;EGFR;0.126;28065597 
P14618;PKM;P00533;EGFR;0.033;24606918 
P14868;DARS;P00533;EGFR;0.126;23956138 
P15104;GLUL;P00533;EGFR;0.126;28065597 
P15311;EZR;P00533;EGFR;0.126;24658140 
P15514;AREGB;P00533;EGFR;0.354;8663535 10085134 
P16070;CD44;P00533;EGFR;0.61;12093135 15597342 23265944 
P16083;NQO2;P00533;EGFR;0.126;24189400 
P16144;ITGB4;P00533;EGFR;0.126;24189400 
P16298;PPP3CB;P00533;EGFR;0.183;28065597 
P17096;HMGA1;P00533;EGFR;0.126;28065597 
P17600;SYN1;P00533;EGFR;0.126;20029029 
P17676;CEBPB;P00533;EGFR;0.21;12095417 
P17844;DDX5;P00533;EGFR;0.126;28065597 
P17858;PFKL;P00533;EGFR;0.126;23956138 
P17987;TCP1;P00533;EGFR;0.126;28065597 
P18065;IGFBP2;P00533;EGFR;0.454;25893308 
P18124;RPL7;P00533;EGFR;0.126;28065597 
P18621;RPL17;P00533;EGFR;0.126;24189400 
P19256;CD58;P00533;EGFR;0.126;28065597 
P19525;EIF2AK2;P00533;EGFR;0.21;24797263 
P19823;ITIH2;P00533;EGFR;0.126;23956138 
P21359;NF1;P00533;EGFR;0.126;28065597 
P23284;PPIB;P00533;EGFR;0.126;28065597 
P23396;RPS3;P00533;EGFR;0.126;28065597 
P23458;JAK1;P00533;EGFR;0.21;18271526 
P23468;PTPRD;P00533;EGFR;0.126;24189400 
P23588;EIF4B;P00533;EGFR;0.126;28065597 
P23634;ATP2B4;P00533;EGFR;0.126;24189400 
P24821;TNC;P00533;EGFR;0.126;28065597 
P24928;POLR2A;P00533;EGFR;0.126;28065597 
P25788;PSMA3;P00533;EGFR;0.126;28065597 
P25789;PSMA4;P00533;EGFR;0.126;28065597 
P26368;U2AF2;P00533;EGFR;0.126;28065597 
P26441;CNTF;P00533;EGFR;0.126;28065597 
P26583;HMGB2;P00533;EGFR;0.126;28065597 
P27487;DPP4;P00533;EGFR;0.126;28065597 
P27816;MAP4;P00533;EGFR;0.126;28065597 
P28845;HSD11B1;P00533;EGFR;0.126;28065597 
P29317;EPHA2;P00533;EGFR;0.126;15657067 
P30101;PDIA3;P00533;EGFR;0.126;23956138 
P30153;PPP2R1A;P00533;EGFR;0.126;23956138 
P30154;PPP2R1B;P00533;EGFR;0.126;23956138 
P30304;CDC25A;P00533;EGFR;0.702;11912208 
P30711;GSTT1;P00533;EGFR;0.126;24189400 
P31151;S100A7;P00533;EGFR;0.21;16799092 
P31751;AKT2;P00533;EGFR;0.21;24797263 
P31949;S100A11;P00533;EGFR;0.126;15657067 
P33151;CDH5;P00533;EGFR;0.183;25402006 
P33992;MCM5;P00533;EGFR;0.126;23764002 
P33993;MCM7;P00533;EGFR;0.126;23764002 
P34903;GABRA3;P00533;EGFR;0.126;28065597 
P34931;HSPA1L;P00533;EGFR;0.126;24189400 
P35070;BTC;P00533;EGFR;0.033;9662041 
P35236;PTPN7;P00533;EGFR;0.183;28065597 
P35527;KRT9;P00533;EGFR;0.126;28065597 
P35579;MYH9;P00533;EGFR;0.21;22366308 
P35908;KRT2;P00533;EGFR;0.126;28065597 
P36406;TRIM23;P00533;EGFR;0.126;28065597 
P36776;LONP1;P00533;EGFR;0.126;28065597 
P37268;FDFT1;P00533;EGFR;0.126;23956138 
P39023;RPL3;P00533;EGFR;0.126;28065597 
P39210;MPV17;P00533;EGFR;0.081;22939629 
P40616;ARL1;P00533;EGFR;0.126;23956138 
P41252;IARS;P00533;EGFR;0.126;23956138 
P42338;PIK3CB;P00533;EGFR;0.126;23956138 
P42345;MTOR;P00533;EGFR;0.126;23956138 
P42677;RPS27;P00533;EGFR;0.126;28065597 
P43307;SSR1;P00533;EGFR;0.126;24189400 
P43487;RANBP1;P00533;EGFR;0.126;23956138 
P46060;RANGAP1;P00533;EGFR;0.126;23956138 
P49023;PXN;P00533;EGFR;0.126;15657067 
P49419;ALDH7A1;P00533;EGFR;0.126;28065597 
P49593;PPM1F;P00533;EGFR;0.126;28065597 
P49770;EIF2B2;P00533;EGFR;0.126;23956138 
P50281;MMP14;P00533;EGFR;0.126;24189400 
P50402;EMD;P00533;EGFR;0.126;28065597 
P50914;RPL14;P00533;EGFR;0.126;28065597 
P51149;RAB7A;P00533;EGFR;0.21;18776048 
P51553;IDH3G;P00533;EGFR;0.126;28065597 
