Protein A;Gene A;Protein B;Gene B;Score;PMID
P63010;AP2B1;P00533;EGFR;0.472;23956138 24189400 24797263 
Q12852;MAP3K12;P00533;EGFR;0.454;20029029 
Q86VI4;LAPTM4B;P00533;EGFR;0.569;25594178 
P18031;PTPN1;P00533;EGFR;0.934;24658140 9355745 7693694 9050838 10889023 8621392 25796184 25402006 
Q99952;PTPN18;P04626;ERBB2;0.702;25081058 
Q03135;CAV1;P00533;EGFR;0.95;24658140 9374534 10781609 16407214 19446582 12388423 25402006 15273741 16799092 15657067 
P21860;ERBB3;P00533;EGFR;0.837;10527633 24189400 22439932 18803307 23436906 10572067 
P29353;SHC1;P04626;ERBB2;0.876;24658140 16729043 10085134 9710588 9756944 16273093 28065597 16843263 
Q9UJM3;ERRFI1;P00533;EGFR;0.955;18776048 23956138 26280531 28065597 19531499 19815557 24189400 18271526 
Q9UNE7;STUB1;P04626;ERBB2;0.93;17239458 12574167 26716506 12239347 17875712 
P42224;STAT1;P00533;EGFR;0.872;24658140 24797263 10358079 25402006 12070153 23956138 
Q15303;ERBB4;P04626;ERBB2;0.61;24557338 10572067 10839362 16767099 
Q96B97;SH3KBP1;P00533;EGFR;0.925;12734385 21635887 15456872 12771190 12177062 11894095 16849543 
P00533;EGFR;O00750;PIK3C2B;0.92;24658140 11533253 10805725 25402006 
Q02297;NRG1;P21860;ERBB3;0.975;7592681 9168115 10970856 17697999 11555649 
P62993;GRB2;P04626;ERBB2;0.872;24658140 16729043 9710588 9756944 16273093 24189400 17875712 11606575 
P00533;EGFR;O95782;AP2A1;0.539;20029029 24189400 24797263 23956138 
P07992;ERCC1;P00533;EGFR;0.735;24780295 
P08195;SLC3A2;P00533;EGFR;0.583;16799092 24189400 15657067 
P35222;CTNNB1;P00533;EGFR;0.671;9535896 24189400 9233779 11950845 
P38646;HSPA9;P00533;EGFR;0.49;28065597 20029029 24189400 15657067 
P46940;IQGAP1;P00533;EGFR;0.74;21349850 19114553 
Q9ULV8;CBLC;P00533;EGFR;0.837;10362357 22888118 10571044 
Q9UBN7;HDAC6;P00533;EGFR;0.899;24658140 20029029 20133936 25402006 
Q9H4P4;RNF41;P21860;ERBB3;0.794;11867753 12411582 17384230 21576364 
P11021;HSPA5;P00533;EGFR;0.597;12471035 24189400 15657067 23956138 28065597 
Q9UQB8;BAIAP2;P00533;EGFR;0.61;24658140 24189400 25402006 
P07900;HSP90AA1;P04626;ERBB2;0.945;24658140 12006493 17239458 11071886 20558745 24189400 25036637 21503962 26804907 22939624 18655187 20159553 22315411 16144943 
P40763;STAT3;P00533;EGFR;0.99;24658140 14966128 24189400 21573184 18258752 10358079 25402006 24135280 25241761 15657067 15950906 15485908 20145033 9756944 23956138 
P27986;PIK3R1;P21860;ERBB3;0.983;22439932 9130710 16273093 20007781 18803287 24189400 15812817 21075308 11546794 20227043 11694521 9756944 10572067 10383151 
P12931;SRC;P00533;EGFR;0.97;17284441 24658140 10777553 23175185 21268077 24189400 21573184 17158602 10358079 10971656 25402006 20333651 28065597 
P01133;EGF;P00533;EGFR;1;10085134 25080504 23597562 19531499 12093292 18427122 10970856 17697999 25453753 21439278 25241761 2790960 11684674 12297050 26280537 12620237 18271526 22729867 8663535 
P11142;HSPA8;P00533;EGFR;0.794;24658140 12471035 15657067 23956138 28065597 20029029 24189400 25402006 
P04626;ERBB2;P04626;ERBB2;0.925;14576349 19077306 21255571 19650109 23436906 19060928 16843263 21480528 
P21860;ERBB3;P04626;ERBB2;0.996;23688700 15504738 9130710 23436906 7592681 19411071 17426253 23680147 19060928 20227043 24557338 25241761 10572067 16843263 22806884 15812817 21075308 
P04626;ERBB2;P00533;EGFR;0.99;19650109 17486068 23436906 24189400 19060928 18803307 16516204 16207817 20211985 24557338 25241761 15657067 11408594 10572067 16843263 21044682 17307140 
P29353;SHC1;P00533;EGFR;1;24658140 11370743 16273093 23799367 25402006 8810340 8034616 10595738 16729043 9756944 23956138 28065597 9544989 20473329 24430869 9742218 18271526 10635327 23178716 9130710 19531499 24189400 10766863 10049786 15657067 11408594 7542744 7518560 7506413 8662998 
P22681;CBL;P00533;EGFR;1;17880946 14627991 23799367 12593795 9756944 9121472 15159412 18316398 19947936 15962011 10086340 17182860 7782294 23175185 16246327 12803489 22591401 15210722 27059931 15657067 21772844 15668240 17995934 22976291 18273061 8662998 25521828 16849543 16914641 17971399 14505571 11370743 28198003 20562913 16969069 10428778 23158001 23897813 25872741 11239464 22203672 16729043 19155296 16105874 26055326 23774213 15677445 10635327 9130710 19531499 15465819 12604776 18508924 26177020 15282549 12734385 7592693 17242169 11408594 19713535 20940296 15107835 19836242 20124286 20877636 18271526 22833562 19578043 16923119 7657591 15735736 23418353 17486068 15383614 19225046 12061819 15117950 25140053 23153581 17545148 22266821 
P62993;GRB2;P00533;EGFR;1;10085134 7527043 16273093 23799367 7650032 8810340 10595738 11896612 23956138 19254954 11960376 9886492 14679214 8647858 23178716 12577067 1322798 9050991 19531499 24189400 10229072 21706016 7592693 27059931 16799092 15657067 17242169 21596750 11408594 7518560 7510700 19836242 7506413 9020117 20124286 18271526 24658140 8940013 17971399 11370743 8887653 25402006 10026169 16729043 19289468 9416834 20473329 
P00533;EGFR;P00533;EGFR;1;23794705 21775422 19650109 2732223 23436906 20007378 18042729 25453753 19225046 21480528 14576349 23956138 23972990 28065597 6321473 20456371 23374349 12297049 8870675 20029029 18427122 19563760 22579287 24135280 22232519 23595626 24077285 12297050 20359299 16777603 11087732 12620237 18271526 
Q05513;PRKCZ;P00533;EGFR;0.286;24658140 25402006 
Q9NP31;SH2D2A;P04626;ERBB2;0.332;16273093 
Q9NV92;NDFIP2;P00533;EGFR;0.21;20534535 
Q9NZC7;WWOX;Q15303;ERBB4;0.623;22584572 19047365 16061658 20943952 
Q9P0J1;PDP1;P00533;EGFR;0.309;24486017 
Q9P0L0;VAPA;P00533;EGFR;0.454;23956138 20029029 
Q06830;PRDX1;P00533;EGFR;0.507;23956138 20029029 18271526 
Q9P2T1;GMPR2;P04626;ERBB2;0.286;25640309 
Q9P2W1;PSMC3IP;P04626;ERBB2;0.286;25640309 
P00533;EGFR;O00206;TLR4;0.21;17126326 
P00533;EGFR;O00213;APBB1;0.332;16273093 
P04626;ERBB2;O00213;APBB1;0.183;16273093 
Q07954;LRP1;P00533;EGFR;0.376;24658140 28065597 25402006 
P00533;EGFR;O00291;HIP1;0.21;17440072 
P00533;EGFR;A7KAX9;ARHGAP32;0.21;12446789 
P00533;EGFR;O00401;WASL;0.286;24658140 25402006 
Q15303;ERBB4;O00459;PIK3R2;0.236;16729043 
Q15303;ERBB4;Q05586;GRIN1;0.21;16767099 
P04626;ERBB2;O00750;PIK3C2B;0.454;10805725 
Q9UQF2;MAPK8IP1;P04626;ERBB2;0.332;16273093 
Q9UQF2;MAPK8IP1;P00533;EGFR;0.332;16273093 
Q08881;ITK;P04626;ERBB2;0.332;16273093 
Q08881;ITK;P21860;ERBB3;0.183;16273093 
Q9NRD1;FBXO6;P00533;EGFR;0.236;23956138 22268729 
P04626;ERBB2;O14492;SH2B2;0.183;16273093 
P21860;ERBB3;O14511;NRG2;0.523;9168115 15358134 
Q15303;ERBB4;O14511;NRG2;0.523;9168115 15358134 
Q9UKG1;APPL1;P00533;EGFR;0.332;16273093 
P00533;EGFR;O14544;SOCS6;0.286;24658140 25402006 
Q09666;AHNAK;P00533;EGFR;0.454;20029029 24189400 
Q9NRD5;PICK1;P04626;ERBB2;0.454;11278603 
Q9NRF2;SH2B1;P00533;EGFR;0.416;16273093 24658140 25402006 
Q9UBN7;HDAC6;P21860;ERBB3;0.286;20029029 
P00533;EGFR;O14818;PSMA7;0.286;20029029 
Q9UBN7;HDAC6;Q15303;ERBB4;0.286;20029029 
P04626;ERBB2;B4DYC6;B4DYC6;0.126;25036637 
P00533;EGFR;O14944;EREG;0.21;9419975 
Q15303;ERBB4;O14944;EREG;0.21;9419975 
P00533;EGFR;O14964;HGS;0.692;23153581 18508924 23602387 23477725 25588945 
Q9UBU9;NXF1;P04626;ERBB2;0.126;22658674 
P04626;ERBB2;O14980;XPO1;0.376;16314522 
Q9UKW4;VAV3;P04626;ERBB2;0.183;16273093 
Q9UKW4;VAV3;P00533;EGFR;0.21;10938113 
P00533;EGFR;O15162;PLSCR1;0.309;12009895 
P00533;EGFR;O15194;CTDSPL;0.126;27880917 
Q9UQQ2;SH2B3;P00533;EGFR;0.183;16273093 
Q9UQQ2;SH2B3;P04626;ERBB2;0.183;16273093 
Q9UQQ2;SH2B3;P21860;ERBB3;0.183;16273093 
Q9NSE2;CISH;P04626;ERBB2;0.332;16273093 
Q9ULJ1;ODF2L;P21860;ERBB3;0.286;16169070 
P06493;CDK1;P00533;EGFR;0.569;24658140 15657067 18271526 25402006 23956138 
P07332;FES;P00533;EGFR;0.183;16273093 
Q9Y2R2;PTPN22;P00533;EGFR;0.376;24658140 25402006 
Q9Y2R2;PTPN22;P04626;ERBB2;0.065;19167335 
P07602;PSAP;P04626;ERBB2;0.286;25640309 
Q9Y316;MEMO1;P04626;ERBB2;0.376;21840311 
Q9Y337;KLK5;P04626;ERBB2;0.286;25640309 
P07900;HSP90AA1;P00533;EGFR;0.765;24658140 12006493 12471035 23956138 20029029 24189400 16849543 25402006 
P21860;ERBB3;P07900;HSP90AA1;0.236;24189400 22939624 
P36542;ATP5C1;P00533;EGFR;0.436;16169070 19531499 
P07948;LYN;P00533;EGFR;0.623;24658140 16799092 23764002 25402006 
Q9UN19;DAPP1;P21860;ERBB3;0.183;16273093 
P08069;IGF1R;P00533;EGFR;0.507;17047074 17307140 
P08069;IGF1R;P04626;ERBB2;0.21;17307140 
P08107;HSPA1B;P00533;EGFR;0.554;24658140 20029029 25241761 15657067 
Q9Y490;TLN1;P04626;ERBB2;0.332;16273093 
P08238;HSP90AB1;P04626;ERBB2;0.332;22939624 24189400 
Q9UNH7;SNX6;P00533;EGFR;0.21;11279102 
P08575;PTPRC;P00533;EGFR;0.065;19167335 
P08575;PTPRC;P04626;ERBB2;0.065;19167335 
P21860;ERBB3;P08581;MET;0.21;21918175 
Q9Y5F2;PCDHB11;P00533;EGFR;0.126;28514442 
P21860;ERBB3;P08631;HCK;0.183;16273093 
Q9Y5K6;CD2AP;P00533;EGFR;0.21;12672817 
Q9UPT5;EXOC7;P00533;EGFR;0.396;25594178 23956138 
P09211;GSTP1;P00533;EGFR;0.702;19254954 26429914 
Q9Y6E0;STK24;P04626;ERBB2;0.286;25640309 
Q9Y6I3;EPN1;P00533;EGFR;0.507;15701692 21226813 19054389 
Q9Y6I3;EPN1;P21860;ERBB3;0.21;26975582 
P09467;FBP1;P04626;ERBB2;0.126;24412244 
Q9Y6K9;IKBKG;P00533;EGFR;0.286;24658140 25402006 
Q06190;PPP2R3A;P00533;EGFR;0.21;19825976 
Q9Y6W3;CAPN7;P00533;EGFR;0.126;24953135 
Q9UQ80;PA2G4;P21860;ERBB3;0.702;10682683 11325528 11708806 
P09769;FGR;P04626;ERBB2;0.332;16273093 
Q15303;ERBB4;P05549;TFAP2A;0.21;20943952 
Q06124;PTPN11;P04626;ERBB2;0.636;8959326 16729043 9756944 16273093 28065597 
Q06124;PTPN11;P00533;EGFR;0.848;8959326 16729043 9756944 16273093 28065597 20473329 7673163 
P05771;PRKCB;P00533;EGFR;0.309;9815893 
P06241;FYN;P04626;ERBB2;0.523;24815698 
P06756;ITGAV;P04626;ERBB2;0.376;26222911 
P10636;MAPT;P00533;EGFR;0.286;24658140 25402006 
P06396;GSN;P00533;EGFR;0.126;20029029 
P06401;PGR;P04626;ERBB2;0.376;20876300 
P11245;NAT2;P04626;ERBB2;0.286;25640309 
P11279;LAMP1;P00533;EGFR;0.236;24597955 21510942 
P37058;HSD17B3;P04626;ERBB2;0.126;24412244 
P37231;PPARG;P00533;EGFR;0.569;26718225 
Q6GQQ9;OTUD7B;P00533;EGFR;0.21;22179831 
P12004;PCNA;P00533;EGFR;0.569;17115032 
Q6PK50;HSP90AB1;P00533;EGFR;0.236;25036637 
Q6PKX4;DOK6;P00533;EGFR;0.183;16273093 
P12830;CDH1;P04626;ERBB2;0.126;25468996 
P21860;ERBB3;P12830;CDH1;0.126;25468996 
P21860;ERBB3;P12931;SRC;0.183;16273093 
P14174;MIF;P00533;EGFR;0.523;26280537 
Q6XE38;SCGB1D4;P00533;EGFR;0.126;28514442 
P40189;IL6ST;P04626;ERBB2;0.376;11821958 
P40189;IL6ST;P21860;ERBB3;0.21;11821958 
P14625;HSP90B1;P04626;ERBB2;0.21;8617772 
P14923;JUP;P00533;EGFR;0.507;24658140 9535896 25402006 
Q6ZV89;SH2D5;P04626;ERBB2;0.183;16273093 
P15498;VAV1;P00533;EGFR;0.436;24658140 10938113 25402006 
Q70E73;RAPH1;P00533;EGFR;0.376;24076656 
P15882;CHN1;P04626;ERBB2;0.183;16273093 
P37840;SNCA;P00533;EGFR;0.286;24658140 25402006 
P21860;ERBB3;P15941;MUC1;0.21;11278868 
Q15303;ERBB4;P15941;MUC1;0.21;11278868 
Q71U36;TUBA1A;P00533;EGFR;0.569;24658140 24189400 15657067 16799092 25402006 
Q15303;ERBB4;P16070;CD44;0.21;11825873 
P16104;H2AFX;P00533;EGFR;0.309;28065597 21704408 
P16152;CBR1;P00533;EGFR;0.286;20029029 
P16591;FER;P00533;EGFR;0.376;7623846 18271526 
P16930;FAH;P00533;EGFR;0.286;20029029 
P17612;PRKACA;P00533;EGFR;0.454;9050991 12589790 
P17931;LGALS3;P00533;EGFR;0.454;23956138 21258405 19225046 
P17936;IGFBP3;P00533;EGFR;0.507;23178489 
Q15303;ERBB4;P40818;USP8;0.21;23153581 
P40925;MDH1;P00533;EGFR;0.286;20029029 
Q8WXH5;SOCS4;P00533;EGFR;0.309;17997974 
Q8WYP3;RIN2;P04626;ERBB2;0.183;16273093 
P41240;CSK;P00533;EGFR;0.523;24658140 16729043 25402006 
Q92187;ST8SIA4;P00533;EGFR;0.126;28514442 
Q7L190;DPPA4;P21860;ERBB3;0.126;26687479 
Q7L273;KCTD9;P00533;EGFR;0.126;20029029 
Q92529;SHC3;P21860;ERBB3;0.332;16273093 
Q92569;PIK3R3;P04626;ERBB2;0.332;16273093 
Q92569;PIK3R3;P21860;ERBB3;0.416;16273093 24189400 
Q92622;KIAA0226;P00533;EGFR;0.507;25594178 24034250 
Q92625;ANKS1A;P00533;EGFR;0.681;16273093 24658140 25402006 
Q92625;ANKS1A;P04626;ERBB2;0.332;16273093 
Q92625;ANKS1A;Q15303;ERBB4;0.183;16273093 
Q92729;PTPRU;P00533;EGFR;0.309;8870675 
Q63HR2;TENC1;P04626;ERBB2;0.332;16273093 
Q92733;PRCC;P00533;EGFR;0.286;20029029 
Q92754;TFAP2C;Q15303;ERBB4;0.454;20943952 
Q63HR2;TENC1;P21860;ERBB3;0.332;16273093 
P42336;PIK3CA;P21860;ERBB3;0.569;19411071 11546794 24189400 
P42679;MATK;P04626;ERBB2;0.354;16273093 12122014 
P42680;TEC;P04626;ERBB2;0.183;16273093 
P42681;TXK;P04626;ERBB2;0.183;16273093 
P42681;TXK;P21860;ERBB3;0.183;16273093 
P42684;ABL2;P04626;ERBB2;0.332;16273093 
P42684;ABL2;P21860;ERBB3;0.332;16273093 
Q15303;ERBB4;P42684;ABL2;0.332;16273093 
P42685;FRK;P00533;EGFR;0.376;24658140 25402006 
P42768;WAS;P00533;EGFR;0.376;9307968 
P42858;HTT;P00533;EGFR;0.21;9079622 
Q8TCG1;KIAA1524;P00533;EGFR;0.236;23956138 
Q8TCJ0;FBXO25;P00533;EGFR;0.183;23940030 
P43115;PTGER3;P04626;ERBB2;0.126;28514442 
Q7Z6G8;ANKS1B;P00533;EGFR;0.183;16273093 
Q7Z6G8;ANKS1B;P04626;ERBB2;0.183;16273093 
Q7Z6G8;ANKS1B;Q15303;ERBB4;0.183;16273093 
Q68CZ2;TNS3;P21860;ERBB3;0.332;16273093 
Q7Z7G1;CLNK;P00533;EGFR;0.183;16273093 
Q7Z7G1;CLNK;P04626;ERBB2;0.183;16273093 
Q8WUI4;HDAC7;P00533;EGFR;0.454;24658140 25402006 
Q8TDQ0;HAVCR2;P04626;ERBB2;0.126;28514442 
Q8TDB4;MGARP;P00533;EGFR;0.286;20029029 
Q8TDI0;CHD5;P00533;EGFR;0.126;24658140 
Q969T9;WBP2;P00533;EGFR;0.21;27578003 
Q96AD5;PNPLA2;P00533;EGFR;0.126;20029029 
Q8TEW6;DOK4;P04626;ERBB2;0.332;16273093 
Q96BE0;Q96BE0;P00533;EGFR;0.236;25036637 
Q8WUM4;PDCD6IP;P00533;EGFR;0.648;24658140 15557335 15456872 25402006 12771190 
Q6FHJ7;SFRP4;P04626;ERBB2;0.126;24412244 
P43405;SYK;P00533;EGFR;0.332;16273093 
Q96D37;VAV1;P00533;EGFR;0.183;16273093 
Q96D37;VAV1;P04626;ERBB2;0.183;16273093 
Q96D37;VAV1;P21860;ERBB3;0.183;16273093 
Q96DR8;MUCL1;P04626;ERBB2;0.286;25640309 
P20936;RASA1;P04626;ERBB2;0.416;16273093 24412244 
P21860;ERBB3;P20936;RASA1;0.183;16273093 
Q15303;ERBB4;P20936;RASA1;0.183;16273093 
P43403;ZAP70;P00533;EGFR;0.416;16273093 24658140 25402006 
P21291;CSRP1;P00533;EGFR;0.286;20029029 
P43405;SYK;P04626;ERBB2;0.332;16273093 
P43405;SYK;P21860;ERBB3;0.332;16273093 
P49407;ARRB1;P00533;EGFR;0.49;24658140 25402006 
P21860;ERBB3;A2A3K4;PTPDC1;0.183;28065597 
P21860;ERBB3;A5A3E0;POTEF;0.126;24189400 
P21860;ERBB3;O43374;RASA4;0.126;16169070 
P21860;ERBB3;O43639;NCK2;0.183;16273093 
P21860;ERBB3;O43670;ZNF207;0.309;12840049 
P21860;ERBB3;O60674;JAK2;0.183;16273093 
P21860;ERBB3;O60783;MRPS14;0.126;24189400 
P21860;ERBB3;O75688;PPM1B;0.183;28065597 
P21860;ERBB3;O75815;BCAR3;0.183;16273093 
P21860;ERBB3;O95147;DUSP14;0.183;28065597 
P21860;ERBB3;O95196;CSPG5;0.309;15358134 
P21860;ERBB3;O95677;EYA4;0.183;28065597 
P21860;ERBB3;O95831;AIFM1;0.126;24189400 
P21860;ERBB3;P02042;HBD;0.126;24189400 
P21860;ERBB3;P02100;HBE1;0.126;24189400 
P21860;ERBB3;P04439;HLA-A;0.126;26186194 
P21860;ERBB3;P04843;RPN1;0.309;12840049 
P21860;ERBB3;P07355;ANXA2;0.126;24189400 
P21860;ERBB3;P07919;UQCRH;0.126;28514442 
P21860;ERBB3;P0DMV8;HSPA1A;0.126;24189400 
P21860;ERBB3;P0DMV9;HSPA1B {ECO:0000312|HGNC:HGNC:5233};0.126;24189400 
P21860;ERBB3;P11021;HSPA5;0.126;24189400 
P21860;ERBB3;P11362;FGFR1;0.183;16273093 
P21860;ERBB3;P16189;HLA-A;0.126;24189400 
P21860;ERBB3;P16333;NCK1;0.183;16273093 
P21860;ERBB3;P16591;FER;0.183;16273093 
P21860;ERBB3;P18146;EGR1;0.309;12840049 
P21860;ERBB3;P19174;PLCG1;0.332;16273093 
P27824;CANX;P21860;ERBB3;0.126;24189400 
P29350;PTPN6;P21860;ERBB3;0.183;28065597 
P30307;CDC25C;P21860;ERBB3;0.183;28065597 
P30443;HLA-A;P21860;ERBB3;0.126;26186194 
P30481;HLA-B;P21860;ERBB3;0.126;24189400 
P30483;HLA-B;P21860;ERBB3;0.126;24189400 
P30512;HLA-A;P21860;ERBB3;0.126;24189400 
P31689;DNAJA1;P21860;ERBB3;0.126;24189400 
P31942;HNRNPH3;P21860;ERBB3;0.126;24189400 
P35236;PTPN7;P21860;ERBB3;0.183;28065597 
P35813;PPM1A;P21860;ERBB3;0.183;28065597 
P42338;PIK3CB;P21860;ERBB3;0.126;24189400 
P43307;SSR1;P21860;ERBB3;0.126;24189400 
P43403;ZAP70;P21860;ERBB3;0.183;16273093 
P46108;CRK;P21860;ERBB3;0.183;16273093 
P46934;NEDD4;P21860;ERBB3;0.21;27793840 
P47813;EIF1AX;P21860;ERBB3;0.126;26186194 
P48740;MASP1;P21860;ERBB3;0.126;24189400 
P49411;TUFM;P21860;ERBB3;0.126;24189400 
P49593;PPM1F;P21860;ERBB3;0.183;28065597 
P49798;RGS4;P21860;ERBB3;0.376;12840049 
P52333;JAK3;P21860;ERBB3;0.183;16273093 
P55795;HNRNPH2;P21860;ERBB3;0.126;24189400 
P56180;TPTE;P21860;ERBB3;0.183;28065597 
P58557;YBEY;P21860;ERBB3;0.126;26186194 
P60484;PTEN;P21860;ERBB3;0.183;28065597 
P60709;ACTB;P21860;ERBB3;0.126;24189400 
P60903;S100A10;P21860;ERBB3;0.126;24189400 
P61769;B2M;P21860;ERBB3;0.126;24189400 
P62736;ACTA2;P21860;ERBB3;0.126;24189400 
P63261;ACTG1;P21860;ERBB3;0.126;24189400 
P63267;ACTG2;P21860;ERBB3;0.126;24189400 
P68032;ACTC1;P21860;ERBB3;0.126;24189400 
P68133;ACTA1;P21860;ERBB3;0.126;24189400 
P68363;TUBA1B;P21860;ERBB3;0.126;24189400 
P68871;HBB;P21860;ERBB3;0.126;24189400 
P69891;HBG1;P21860;ERBB3;0.126;24189400 
P69892;HBG2;P21860;ERBB3;0.126;24189400 
P69905;HBA2;P21860;ERBB3;0.126;24189400 
P78406;RAE1;P21860;ERBB3;0.126;24189400 
Q00987;MDM2;P21860;ERBB3;0.376;21930127 
Q01973;ROR1;P21860;ERBB3;0.21;22439932 
Q05209;PTPN12;P21860;ERBB3;0.183;28065597 
Q13613;MTMR1;P21860;ERBB3;0.183;28065597 
Q13614;MTMR2;P21860;ERBB3;0.183;28065597 
Q14289;PTK2B;P21860;ERBB3;0.21;27793840 
Q15256;PTPRR;P21860;ERBB3;0.183;28065597 
Q16543;CDC37;P21860;ERBB3;0.126;24189400 
Q4JDL3;PTPN20 {ECO:0000312|HGNC:HGNC:23423};P21860;ERBB3;0.183;28065597 
Q4VC44;FLYWCH1;P21860;ERBB3;0.126;16169070 
Q68J44;DUPD1;P21860;ERBB3;0.183;28065597 
Q6S8J3;POTEE;P21860;ERBB3;0.126;24189400 
Q6Y288;B3GALTL;P21860;ERBB3;0.126;26186194 
Q8N3J5;PPM1K;P21860;ERBB3;0.183;28065597 
Q8NEJ0;DUSP18;P21860;ERBB3;0.183;28065597 
Q8WTR2;DUSP19;P21860;ERBB3;0.183;28065597 
Q8WUJ0;STYX;P21860;ERBB3;0.183;28065597 
Q8WV24;PHLDA1;P21860;ERBB3;0.126;24189400 
Q92552;MRPS27;P21860;ERBB3;0.126;24189400 
Q92597;NDRG1;P21860;ERBB3;0.21;27793840 
Q96EF0;MTMR8;P21860;ERBB3;0.183;28065597 
Q96EY7;PTCD3;P21860;ERBB3;0.126;24189400 
Q96MI6;Q96MI6;P21860;ERBB3;0.183;28065597 
Q96PU5;NEDD4L;P21860;ERBB3;0.376;27793840 
Q96QG7;MTMR9;P21860;ERBB3;0.183;28065597 
Q9BYX7;POTEKP;P21860;ERBB3;0.126;24189400 
Q9H0C8;ILKAP;P21860;ERBB3;0.183;28065597 
Q9H596;DUSP21;P21860;ERBB3;0.183;28065597 
Q9NXD2;MTMR10;P21860;ERBB3;0.183;28065597 
Q9UBS4;DNAJB11;P21860;ERBB3;0.126;24189400 
Q9UDW1;UQCR10;P21860;ERBB3;0.126;26186194 
Q9UKW4;VAV3;P21860;ERBB3;0.183;16273093 
Q9Y217;MTMR6;P21860;ERBB3;0.183;28065597 
Q9Y2Q9;MRPS28;P21860;ERBB3;0.126;24189400 
Q9Y2R5;MRPS17;P21860;ERBB3;0.126;24189400 
Q9Y3D9;MRPS23;P21860;ERBB3;0.126;24189400 
Q9Y6Q5;AP1M2;P21860;ERBB3;0.126;24189400 
Q8IVD9;NUDCD3;P04626;ERBB2;0.126;25036637 
P49757;NUMB;P00533;EGFR;0.183;16273093 
Q8IVM0;CCDC50;P00533;EGFR;0.376;16803894 
Q8IW90;Q8IW90;P04626;ERBB2;0.126;25640309 
Q8IWX7;UNC45B;P04626;ERBB2;0.126;25036637 
P43657;LPAR6;P04626;ERBB2;0.126;26186194 
